Temp:	U:
-5.04511904E-03	0.680E-6
-5.04936192E-03	0.678E-6
-5.03321568E-03	0.683E-6
-5.03225120E-03	0.663E-6
-5.03149760E-03	0.693E-6
-5.02401344E-03	0.730E-6
-5.00693184E-03	0.670E-6
-5.00509856E-03	0.663E-6
-4.99268096E-03	0.700E-6
-4.98333568E-03	0.668E-6
-4.98468928E-03	0.733E-6
-4.96816672E-03	0.678E-6
-4.96713312E-03	0.688E-6
-4.95401760E-03	0.708E-6
-4.95343744E-03	0.715E-6
-4.95536224E-03	0.683E-6
-4.93672608E-03	0.728E-6
-4.92714624E-03	0.708E-6
-4.92578016E-03	0.743E-6
-4.92579520E-03	0.728E-6
-4.91753632E-03	0.680E-6
-4.90793536E-03	0.738E-6
-4.90693472E-03	0.700E-6
-4.90062304E-03	0.728E-6
-4.87804480E-03	0.690E-6
-4.88384224E-03	0.718E-6
-4.88102752E-03	0.713E-6
-4.86873952E-03	0.740E-6
-4.86635200E-03	0.715E-6
-4.85539616E-03	0.695E-6
-4.84884608E-03	0.718E-6
-4.84512480E-03	0.703E-6
-4.82579392E-03	0.690E-6
-4.82945664E-03	0.720E-6
-4.81274048E-03	0.705E-6
-4.81881344E-03	0.718E-6
-4.80488576E-03	0.695E-6
-4.79817792E-03	0.703E-6
-4.78791232E-03	0.720E-6
-4.79146080E-03	0.705E-6
-4.77558944E-03	0.733E-6
-4.76806624E-03	0.763E-6
-4.76506976E-03	0.695E-6
-4.75406848E-03	0.758E-6
-4.75869568E-03	0.713E-6
-4.74532096E-03	0.715E-6
-4.74362432E-03	0.763E-6
-4.73745056E-03	0.713E-6
-4.73253888E-03	0.750E-6
-4.72062080E-03	0.695E-6
-4.70478368E-03	0.728E-6
-4.70586432E-03	0.713E-6
-4.69019104E-03	0.728E-6
-4.69765216E-03	0.728E-6
-4.67896000E-03	0.720E-6
-4.67668704E-03	0.755E-6
-4.66552960E-03	0.718E-6
-4.65908832E-03	0.740E-6
